dec12,dec9,birthdate,later tagged
1223,1868,22.07.2016,
1224,76,28.06.2016,
1225,332,29.07.2016,
1226,588,02.08.2016,
1227,844,07.07.2016,
1228,1100,22.08.2016,
1229,1356,15.07.2016,
1230,1612,20.07.2016,
1231,1868,,
1232,77,28.06.2016,
1233,333,29.07.2016,
1234,589,02.08.2016,
1235,845,07.07.2016,
1236,1101,22.08.2016,
1237,1357,15.07.2016,
1238,1613,20.07.2016,
1239,1869,,
1240,77,27.07.2016,
1241,333,01.07.2016,
1242,589,05.07.2016,
1243,845,11.08.2016,
1244,1101,13.07.2016,
1245,1357,,
1246,1613,,
1247,1869,22.07.2016,
1248,78,28.06.2016,
1249,334,29.07.2016,
1250,590,02.08.2016,
1251,846,07.07.2016,
1252,1102,22.08.2016,
1253,1358,15.07.2016,
1254,1614,20.07.2016,
1255,1870,,
1256,78,27.07.2016,
1257,334,01.07.2016,
1258,590,05.07.2016,
1259,846,11.08.2016,
1260,1102,13.07.2016,
1261,1358,,
1262,1614,,
1263,1870,22.07.2016,
1264,79,27.07.2016,
1265,335,01.07.2016,
1266,591,05.07.2016,
1267,847,11.08.2016,
1268,1103,,
1269,1359,,
1270,1615,,
1271,1871,22.07.2016,
1272,79,28.06.2016,
1273,335,29.07.2016,
1274,591,02.08.2016,
1275,847,07.07.2016,
1276,1103,22.08.2016,
1277,1359,15.07.2016,
1278,1615,20.07.2016,
1279,1871,,
1280,80,28.06.2016,
1281,336,29.07.2016,
1282,592,02.08.2016,
1283,848,07.07.2016,
1284,1104,22.08.2016,
1285,1360,15.07.2016,
1286,1616,20.07.2016,
1287,1872,,
1288,80,27.07.2016,
1289,336,01.07.2016,
1290,592,05.07.2016,
1291,848,11.08.2016,
1292,1104,13.07.2016,
1293,1360,,
1294,1616,,
1295,1872,22.07.2016,
1296,81,27.07.2016,
1297,337,01.07.2016,
1298,593,05.07.2016,
1299,849,11.08.2016,
1300,1105,13.07.2016,
1301,1361,,
1302,1617,,
1303,1873,22.07.2016,
1304,81,28.06.2016,
1305,337,29.07.2016,
1306,593,02.08.2016,
1307,849,07.07.2016,
1308,1105,22.08.2016,
1309,1361,15.07.2016,
1310,1617,20.07.2016,
1311,1873,,
1312,82,27.07.2016,
1313,338,01.07.2016,
1314,594,05.07.2016,
1315,850,11.08.2016,
1316,1106,,
1317,1362,,
1318,1618,,
1319,1874,,
1320,82,28.06.2016,
1321,338,29.07.2016,
1322,594,02.08.2016,
1323,850,07.07.2016,
1324,1106,22.08.2016,
1325,1362,15.07.2016,
1326,1618,20.07.2016,
1327,1874,,
1328,83,28.06.2016,
1329,339,29.07.2016,
1330,595,02.08.2016,
1331,851,07.07.2016,
1332,1107,22.08.2016,
1333,1363,,
1334,1619,21.07.2016,
1335,1875,,
1336,83,27.07.2016,
1337,339,01.07.2016,
1338,595,05.07.2016,
1339,851,11.08.2016,
1340,1107,13.07.2016,
1341,1363,,
1342,1619,,
1343,1875,22.07.2016,
1344,84,27.07.2016,
1345,340,01.07.2016,
1346,596,05.07.2016,
1347,852,11.08.2016,
1348,1108,13.07.2016,
1349,1364,,
1350,1620,,
1351,1876,22.07.2016,
1352,84,28.06.2016,
1353,340,28.07.2016,
1354,596,02.08.2016,
1355,852,07.07.2016,
1356,1108,22.08.2016,
1357,1364,15.07.2016,
1358,1620,21.07.2016,
1359,1876,,
1360,85,28.06.2016,
1361,341,28.07.2016,
1362,597,02.08.2016,
1363,853,07.07.2016,
1364,1109,22.08.2016,
1365,1365,15.07.2016,
1366,1621,21.07.2016,
1367,1877,,
1368,85,27.07.2016,
1369,341,01.07.2016,
1370,597,05.07.2016,
1371,853,11.08.2016,
1372,1109,13.07.2016,
1373,1365,,
1374,1621,,
1375,1877,22.07.2016,
1376,86,28.06.2016,
1377,342,28.07.2016,
1378,598,02.08.2016,
1379,854,07.07.2016,
1380,1110,22.08.2016,
1381,1366,15.07.2016,
1382,1622,21.07.2016,
1383,1878,,
1384,86,27.07.2016,
1385,342,01.07.2016,
1386,598,05.07.2016,
1387,854,11.08.2016,
1388,1110,13.07.2016,
1389,1366,,
1390,1622,,
1391,1878,22.07.2016,
1392,87,27.07.2016,
1393,343,01.07.2016,
1394,599,05.07.2016,
1395,855,11.08.2016,
1396,1111,13.07.2016,
1397,1367,,
1398,1623,,
1399,1879,22.07.2016,
1400,87,28.06.2016,
1401,343,28.07.2016,
1402,599,02.08.2016,
1403,855,07.07.2016,
1404,1111,22.08.2016,
1405,1367,15.07.2016,
1406,1623,21.07.2016,
1407,1879,,
1408,88,27.07.2016,
1409,344,01.07.2016,
1410,600,05.07.2016,
1411,856,11.08.2016,
1412,1112,13.07.2016,
1413,1368,,
1414,1624,,
1415,1880,22.07.2016,
1416,88,28.06.2016,
1417,344,29.07.2016,
1418,600,02.08.2016,
1419,856,07.07.2016,
1420,1112,22.08.2016,
1421,1368,15.07.2016,
1422,1624,21.07.2016,
1423,1880,,
1424,89,28.06.2016,
1425,345,29.07.2016,
1426,601,02.08.2016,
1427,857,07.07.2016,
1428,1113,22.08.2016,
1429,1369,15.07.2016,
1430,1625,21.07.2016,
1431,1881,,
1432,89,27.07.2016,
1433,345,01.07.2016,
1434,601,05.07.2016,
1435,857,11.08.2016,
1436,1113,13.07.2016,
1437,1369,,
1438,1625,,
1439,1881,22.07.2016,
1440,90,28.06.2016,
1441,346,29.07.2016,
1442,602,02.08.2016,
1443,858,07.07.2016,
1444,1114,22.08.2016,
1445,1370,15.07.2016,
1446,1626,20.07.2016,
1447,1882,,
1448,90,27.07.2016,
1449,346,01.07.2016,
1450,602,05.07.2016,
1451,858,11.08.2016,
1452,1114,13.07.2016,
1453,1370,,
1454,1626,,
1455,1882,22.07.2016,
1456,91,27.07.2016,
1457,347,01.07.2016,
1458,603,05.07.2016,
1459,859,11.08.2016,
1460,1115,13.07.2016,
1461,1371,,
1462,1627,,
1463,1883,22.07.2016,
1464,91,28.06.2016,
1465,347,29.07.2016,
1466,603,02.08.2016,
1467,859,07.07.2016,
1468,1115,22.08.2016,
1469,1371,15.07.2016,
1470,1627,20.07.2016,
1471,1883,,
1472,92,28.06.2016,
1473,348,29.07.2016,
1474,604,02.08.2016,
1475,860,07.07.2016,
1476,1116,22.08.2016,
1477,1372,15.07.2016,
1478,1628,20.07.2016,
1479,1884,,
1480,92,27.07.2016,
1481,348,01.07.2016,
1482,604,05.07.2016,
1483,860,11.08.2016,
1484,1116,13.07.2016,
1485,1372,,
1486,1628,,
1487,1884,22.07.2016,
1488,93,27.07.2016,
1489,349,01.07.2016,
1490,605,05.07.2016,
1491,861,11.08.2016,
1492,1117,13.07.2016,
1493,1373,,
1494,1629,,
1495,1885,,
1496,93,28.06.2016,
1497,349,29.07.2016,
1498,605,02.08.2016,
1499,861,07.07.2016,
1500,1117,22.08.2016,
1501,1373,15.07.2016,
1502,1629,20.07.2016,
1503,1885,,
1504,94,27.07.2016,
1505,350,01.07.2016,
1506,606,05.07.2016,
1507,862,11.08.2016,
1508,1118,13.07.2016,
1509,1374,,
1510,1630,,
1511,1886,22.07.2016,
1512,94,28.06.2016,
1513,350,29.07.2016,
1514,606,02.08.2016,
1515,862,07.07.2016,
1516,1118,22.08.2016,
1517,1374,15.07.2016,
1518,1630,20.07.2016,
1519,1886,,
1520,95,28.06.2016,
1521,351,29.07.2016,
1522,607,02.08.2016,
1523,863,07.07.2016,
1524,1119,22.08.2016,
1525,1375,15.07.2016,
1526,1631,21.07.2016,
1527,1887,,
1528,95,27.07.2016,
1529,351,01.07.2016,
1530,607,05.07.2016,
1531,863,11.08.2016,
1532,1119,13.07.2016,
1533,1375,,
1534,1631,,
1535,1887,22.07.2016,
1536,96,28.06.2016,
1537,352,28.07.2016,
1538,608,02.08.2016,
1539,864,07.07.2016,
1540,1120,22.08.2016,
1541,1376,15.07.2016,
1542,1632,20.07.2016,
1543,1888,,
1544,96,27.07.2016,
1545,352,01.07.2016,
1546,608,05.07.2016,
1547,864,11.08.2016,
1548,1120,13.07.2016,
1549,1376,,
1550,1632,,
1551,1888,22.07.2016,
1552,97,27.07.2016,
1553,353,01.07.2016,
1554,609,05.07.2016,
1555,865,11.08.2016,
1556,1121,13.07.2016,
1557,1377,,
1558,1633,,
1559,1889,22.07.2016,
1560,97,28.06.2016,
1561,353,29.07.2016,
1562,609,02.08.2016,
1563,865,07.07.2016,
1564,1121,22.08.2016,
1565,1377,15.07.2016,
1566,1633,20.07.2016,
1567,1889,,
1568,98,27.07.2016,
1569,354,01.07.2016,
1570,610,05.07.2016,
1571,866,11.08.2016,
1572,1122,13.07.2016,
1573,1378,,
1574,1634,,
1575,1890,22.07.2016,
1576,98,28.06.2016,
1577,354,29.07.2016,
1578,610,,
1579,866,07.07.2016,
1580,1122,02.08.2016,
1581,1378,15.07.2016,
1582,1634,20.07.2016,
1583,1890,,
1584,99,28.06.2016,
1585,355,29.07.2016,
1586,611,02.08.2016,
1587,867,07.07.2016,
1588,1123,22.08.2016,
1589,1379,15.07.2016,
1590,1635,20.07.2016,
1591,1891,,
1592,99,27.07.2016,
1593,355,01.07.2016,
1594,611,05.07.2016,
1595,867,11.08.2016,
1596,1123,13.07.2016,
1597,1379,,
1598,1635,,
1599,1891,22.07.2016,
1600,100,27.07.2016,
1601,356,01.07.2016,
1602,612,05.07.2016,
1603,868,11.08.2016,
1604,1124,13.07.2016,
1605,1380,,
1606,1636,,
1607,1892,22.07.2016,
1608,100,28.06.2016,
1609,356,29.07.2016,
1610,612,02.08.2016,
1611,868,07.07.2016,
1612,1124,22.08.2016,
1613,1380,15.07.2016,
1614,1636,20.07.2016,
1615,1892,,
1616,101,28.06.2016,
1617,357,29.07.2016,
1618,613,02.08.2016,
1619,869,07.07.2016,
1620,1125,22.08.2016,
1621,1381,15.07.2016,
1622,1637,20.07.2016,
1623,1893,,
1624,101,27.07.2016,
1625,357,01.07.2016,
1626,613,05.07.2016,
1627,869,11.08.2016,
1628,1125,13.07.2016,
1629,1381,,
1630,1637,,
1631,1893,22.07.2016,
1632,102,28.06.2016,
1633,358,29.07.2016,
1634,614,02.08.2016,
1635,870,07.07.2016,
1636,1126,22.08.2016,
1637,1382,15.07.2016,
1638,1638,20.07.2016,
1639,1894,,
1640,102,27.07.2016,
1641,358,01.07.2016,
1642,614,05.07.2016,
1643,870,11.08.2016,
1644,1126,13.07.2016,
1645,1382,,
1646,1638,,
1647,1894,22.07.2016,
1648,103,27.07.2016,
1649,359,01.07.2016,
1650,615,05.07.2016,
1651,871,11.08.2016,
1652,1127,13.07.2016,
1653,1383,,
1654,1639,,
1655,1895,22.07.2016,
1656,103,28.06.2016,
1657,359,29.07.2016,
1658,615,02.08.2016,
1659,871,07.07.2016,
1660,1127,22.08.2016,
1661,1383,15.07.2016,
1662,1639,20.07.2016,
1663,1895,,
1664,104,27.07.2016,
1665,360,01.07.2016,
1666,616,05.07.2016,
1667,872,11.08.2016,
1668,1128,13.07.2016,
1669,1384,,
1670,1640,,
1671,1896,22.07.2016,
1672,104,28.06.2016,
1673,360,29.07.2016,
1674,616,02.08.2016,
1675,872,07.07.2016,
1676,1128,22.08.2016,
1677,1384,15.07.2016,
1678,1640,20.07.2016,
1679,1896,,
1680,105,28.06.2016,
1681,361,29.07.2016,
1682,617,02.08.2016,
1683,873,07.07.2016,
1684,1129,22.08.2016,
1685,1385,15.07.2016,
1686,1641,20.07.2016,
1687,1897,,
1688,105,27.07.2016,
1689,361,01.07.2016,
1690,617,05.07.2016,
1691,873,11.08.2016,
1692,1129,13.07.2016,
1693,1385,,
1694,1641,,
1695,1897,22.07.2016,
1696,106,28.06.2016,
1697,362,29.07.2016,
1698,618,02.08.2016,
1699,874,07.07.2016,
1700,1130,22.08.2016,
1701,1386,15.07.2016,
1702,1642,21.07.2016,
1703,1898,,
1704,106,27.07.2016,
1705,362,01.07.2016,
1706,618,05.07.2016,
1707,874,11.08.2016,
1708,1130,13.07.2016,
1709,1386,,
1710,1642,,
1711,1898,22.07.2016,
1712,107,27.07.2016,
1713,363,01.07.2016,
1714,619,05.07.2016,
1715,875,11.08.2016,
1716,1131,13.07.2016,
1717,1387,,
1718,1643,,
1719,1899,22.07.2016,
1720,107,28.06.2016,
1721,363,29.07.2016,
1722,619,02.08.2016,
1723,875,07.07.2016,
1724,1131,22.08.2016,
1725,1387,15.07.2016,
1726,1643,20.07.2016,
1727,1899,,
1728,108,28.06.2016,
1729,364,29.07.2016,
1730,620,02.08.2016,
1731,876,07.07.2016,
1732,1132,22.08.2016,
1733,1388,15.07.2016,
1734,1644,21.07.2016,
1735,1900,,
1736,108,27.07.2016,
1737,364,01.07.2016,
1738,620,05.07.2016,
1739,876,11.08.2016,
1740,1132,13.07.2016,
1741,1388,,
1742,1644,,
1743,1900,22.07.2016,
1744,109,27.07.2016,
1745,365,01.07.2016,
1746,621,05.07.2016,
1747,877,11.08.2016,
1748,1133,13.07.2016,
1749,1389,,
1750,1645,,
1751,1901,01.01.2016,
1752,109,28.06.2016,
1753,365,29.07.2016,
1754,621,02.08.2016,
1755,877,07.07.2016,
1756,1133,22.08.2016,
1757,1389,15.07.2016,
1758,1645,21.07.2016,
1759,1901,,
1760,110,27.07.2016,
1761,366,01.07.2016,
1762,622,05.07.2016,
1763,878,10.08.2016,
1764,1134,13.07.2016,
1765,1390,,
1766,1646,,
1767,1902,22.07.2016,
1768,110,28.06.2016,
1769,366,29.07.2016,
1770,622,02.08.2016,
1771,878,07.07.2016,
1772,1134,22.08.2016,
1773,1390,15.07.2016,
1774,1646,21.07.2016,
1775,1902,,
1776,111,28.06.2016,
1777,367,29.07.2016,
1778,623,02.08.2016,
1779,879,07.07.2016,
1780,1135,22.08.2016,
1781,1391,15.07.2016,
1782,1647,21.07.2016,
1783,1903,,
1784,111,27.07.2016,
1785,367,01.07.2016,
1786,623,05.07.2016,
1787,879,11.08.2016,
1788,1135,13.07.2016,
1789,1391,,
1790,1647,,
1791,1903,22.07.2016,
1792,112,27.07.2016,
1793,368,01.07.2016,
1794,624,05.07.2016,
1795,880,11.08.2016,
1796,1136,13.07.2016,
1797,1392,,
1798,1648,,
1799,1904,22.07.2016,
1800,112,28.06.2016,
1801,368,29.07.2016,
1802,624,02.08.2016,
1803,880,07.07.2016,
1804,1136,22.08.2016,
1805,1392,15.07.2016,
1806,1648,21.07.2016,
1807,1904,,
1808,113,28.06.2016,
1809,369,29.07.2016,
1810,625,02.08.2016,
1811,881,07.07.2016,
1812,1137,22.08.2016,
1813,1393,15.07.2016,
1814,1649,21.07.2016,
1815,1905,,
1816,113,27.07.2016,
1817,369,01.07.2016,
1818,625,05.07.2016,
1819,881,11.08.2016,
1820,1137,13.07.2016,
1821,1393,,
1822,1649,,
1823,1905,22.07.2016,
1824,114,28.06.2016,
1825,370,28.07.2016,
1826,626,02.08.2016,
1827,882,07.07.2016,
1828,1138,22.08.2016,
1829,1394,15.07.2016,
1830,1650,21.07.2016,
1831,1906,,
1832,114,27.07.2016,
1833,370,01.07.2016,
1834,626,05.07.2016,
1835,882,10.08.2016,
1836,1138,13.07.2016,
1837,1394,,
1838,1650,,
1839,1906,22.07.2016,
1840,115,27.07.2016,
1841,371,01.07.2016,
1842,627,05.07.2016,
1843,883,11.08.2016,
1844,1139,13.07.2016,
1845,1395,,
1846,1651,,
1847,1907,22.07.2016,
1848,115,28.06.2016,
1849,371,28.07.2016,
1850,627,02.08.2016,
1851,883,07.07.2016,
1852,1139,22.08.2016,
1853,1395,15.07.2016,
1854,1651,21.07.2016,
1855,1907,,
1856,116,28.06.2016,
1857,372,28.07.2016,
1858,628,02.08.2016,
1859,884,07.07.2016,
1860,1140,22.08.2016,
1861,1396,15.07.2016,
1862,1652,21.07.2016,
1863,1908,,
1864,116,27.07.2016,
1865,372,01.07.2016,
1866,628,05.07.2016,
1867,884,11.08.2016,
1868,1140,13.07.2016,
1869,1396,,
1870,1652,,
1871,1908,22.07.2016,
1872,117,27.07.2016,
1873,373,01.07.2016,
1874,629,05.07.2016,
1875,885,11.08.2016,
1876,1141,13.07.2016,
1877,1397,,
1878,1653,,
1879,1909,22.07.2016,
1880,117,28.06.2016,
1881,373,28.07.2016,
1882,629,02.08.2016,
1883,885,07.07.2016,
1884,1141,22.08.2016,
1885,1397,15.07.2016,
1886,1653,21.07.2016,
1887,1909,,
1888,118,27.07.2016,
1889,374,01.07.2016,
1890,630,05.07.2016,
1891,886,11.08.2016,
1892,1142,13.07.2016,
1893,1398,,
1894,1654,,
1895,1910,22.07.2016,
1896,118,28.06.2016,
1897,374,28.07.2016,
1898,630,02.08.2016,
1899,886,07.07.2016,
1900,1142,22.08.2016,
1901,1398,15.07.2016,
1902,1654,21.07.2016,
1903,1910,,
1904,119,28.06.2016,
1905,375,28.07.2016,
1906,631,02.08.2016,
1907,887,07.07.2016,
1908,1143,22.08.2016,
1909,1399,15.07.2016,
1910,1655,21.07.2016,
1911,1911,,
1912,119,27.07.2016,
1913,375,01.07.2016,
1914,631,05.07.2016,
1915,887,11.08.2016,
1916,1143,13.07.2016,
1917,1399,,
1918,1655,,
1919,1911,22.07.2016,
1920,120,,
1921,376,28.07.2016,
1922,632,02.08.2016,
1923,888,07.07.2016,
1924,1144,22.08.2016,
1925,1400,15.07.2016,
1926,1656,21.07.2016,
1927,1912,,
1928,120,27.07.2016,
1929,376,01.07.2016,
1930,632,05.07.2016,
1931,888,11.08.2016,
1932,1144,13.07.2016,
1933,1400,,
1934,1656,,
1935,1912,22.07.2016,
1936,121,27.07.2016,
1937,377,01.07.2016,
1938,633,05.07.2016,
1939,889,11.08.2016,
1940,1145,13.07.2016,
1941,1401,,
1942,1657,,
1943,1913,22.07.2016,
1944,121,28.06.2016,
1945,377,28.07.2016,
1946,633,02.08.2016,
1947,889,07.07.2016,
1948,1145,22.08.2016,
1949,1401,15.07.2016,
1950,1657,21.07.2016,
1951,1913,,
1952,122,27.07.2016,
1953,378,01.07.2016,
1954,634,05.07.2016,
1955,890,11.08.2016,
1956,1146,13.07.2016,
1957,1402,,
1958,1658,,
1959,1914,22.07.2016,
1960,122,28.06.2016,
1961,378,28.07.2016,
1962,634,02.08.2016,
1963,890,07.07.2016,
1964,1146,22.08.2016,
1965,1402,15.07.2016,
1966,1658,21.07.2016,
1967,1914,,
1968,123,28.06.2016,
1969,379,28.07.2016,
1970,635,02.08.2016,
1971,891,07.07.2016,
1972,1147,22.08.2016,
1973,1403,15.07.2016,
1974,1659,21.07.2016,
1975,1915,,
1976,123,27.07.2016,
1977,379,01.07.2016,
1978,635,05.07.2016,
1979,891,11.08.2016,
1980,1147,,
1981,1403,,
1982,1659,,
1983,1915,22.07.2016,
1984,124,27.07.2016,
1985,380,01.07.2016,
1986,636,05.07.2016,
1987,892,11.08.2016,
1988,1148,,
1989,1404,,
1990,1660,,
1991,1916,22.07.2016,
1992,124,28.06.2016,
1993,380,29.07.2016,
1994,636,02.08.2016,
1995,892,07.07.2016,
1996,1148,22.08.2016,
1997,1404,15.07.2016,
1998,1660,21.07.2016,
1999,1916,,
2000,125,28.06.2016,
2001,381,29.07.2016,
2002,637,02.08.2016,
2003,893,07.07.2016,
2004,1149,22.08.2016,
2005,1405,15.07.2016,
2006,1661,20.07.2016,
2007,1917,,
2008,125,27.07.2016,
2009,381,01.07.2016,
2010,637,05.07.2016,
2011,893,11.08.2016,
2012,1149,13.07.2016,
2013,1405,,
2014,1661,,
2015,1917,22.07.2016,
2016,126,28.06.2016,
2017,382,29.07.2016,
2018,638,02.08.2016,
2019,894,07.07.2016,
2020,1150,22.08.2016,
2021,1406,15.07.2016,
2022,1662,20.07.2016,
2023,1918,,
2024,126,27.07.2016,
2025,382,01.07.2016,
2026,638,05.07.2016,
2027,894,11.08.2016,
2028,1150,13.07.2016,
2029,1406,,
2030,1662,,
2031,1918,22.07.2016,
2032,127,27.07.2016,
2033,383,01.07.2016,
2034,639,05.07.2016,
2035,895,11.08.2016,
2036,1151,13.07.2016,
2037,1407,,
2038,1663,,
2039,1919,22.07.2016,
2040,127,28.06.2016,
2041,383,28.07.2016,
2042,639,02.08.2016,
2043,895,07.07.2016,
2044,1151,22.08.2016,
2045,1407,,23.08.2016
2046,1663,20.07.2016,
2047,1919,,
2048,128,28.07.2016,
2049,384,01.07.2016,
2050,640,05.07.2016,
2051,896,11.08.2016,
2052,1152,13.07.2016,
2053,1408,,
2054,1664,,
2055,1920,22.07.2016,
2056,128,28.06.2016,
2057,384,01.08.2016,
2058,640,,
2059,896,07.07.2016,
2060,1152,22.08.2016,
2061,1408,15.07.2016,
2062,1664,20.07.2016,
2063,1920,,
2064,129,29.06.2016,
2065,385,01.08.2016,
2066,641,10.08.2016,
2067,897,07.07.2016,
2068,1153,23.08.2016,
2069,1409,15.07.2016,
2070,1665,21.07.2016,
2071,1921,,
2072,129,28.07.2016,
2073,385,01.07.2016,
2074,641,05.07.2016,
2075,897,11.08.2016,
2076,1153,,
2077,1409,,
2078,1665,,
2079,1921,26.07.2016,
2080,130,29.06.2016,
2081,386,01.08.2016,
2082,642,10.08.2016,
2083,898,07.07.2016,
2084,1154,23.08.2016,
2085,1410,15.07.2016,
2086,1666,21.07.2016,
2087,1922,,
2088,130,27.07.2016,
2089,386,01.07.2016,
2090,642,05.07.2016,
2091,898,11.08.2016,
2092,1154,,
2093,1410,,
2094,1666,,
2095,1922,25.07.2016,
2096,131,28.07.2016,
2097,387,01.07.2016,
2098,643,05.07.2016,
2099,899,11.08.2016,
2100,1155,,
2101,1411,,
2102,1667,,
2103,1923,26.07.2016,
2104,131,29.06.2016,
2105,387,01.08.2016,
2106,643,05.08.2016,
2107,899,07.07.2016,
2108,1155,23.08.2016,
2109,1411,15.07.2016,
2110,1667,21.07.2016,
2111,1923,,
2112,132,29.06.2016,
2113,388,01.08.2016,
2114,644,10.08.2016,
2115,900,07.07.2016,
2116,1156,23.08.2016,
2117,1412,15.07.2016,
2118,1668,21.07.2016,
2119,1924,,
2120,132,28.07.2016,
2121,388,01.07.2016,
2122,644,05.07.2016,
2123,900,11.08.2016,
2124,1156,,
2125,1412,,
2126,1668,,
2127,1924,26.07.2016,
2128,133,28.07.2016,
2129,389,01.07.2016,
2130,645,05.07.2016,
2131,901,11.08.2016,
2132,1157,,
2133,1413,,
2134,1669,,
2135,1925,26.07.2016,
2136,133,29.06.2016,
2137,389,01.08.2016,
2138,645,05.08.2016,
2139,901,07.07.2016,
2140,1157,23.08.2016,
2141,1413,15.07.2016,
2142,1669,21.07.2016,
2143,1925,,
2144,134,28.07.2016,
2145,390,01.07.2016,
2146,646,05.07.2016,
2147,902,11.08.2016,
2148,1158,,
2149,1414,,
2150,1670,,
2151,1926,26.07.2016,
2152,134,29.06.2016,
2153,390,01.08.2016,
2154,646,05.08.2016,
2155,902,07.07.2016,
2156,1158,23.08.2016,
2157,1414,15.07.2016,
2158,1670,21.07.2016,
2159,1926,,
2160,135,29.06.2016,
2161,391,01.08.2016,
2162,647,05.08.2016,
2163,903,07.07.2016,
2164,1159,23.08.2016,
2165,1415,15.07.2016,
2166,1671,21.07.2016,
2167,1927,,
2168,135,28.07.2016,
2169,391,01.07.2016,
2170,647,05.07.2016,
2171,903,11.08.2016,
2172,1159,,
2173,1415,,
2174,1671,,
2175,1927,26.07.2016,
2176,136,29.06.2016,
2177,392,01.08.2016,
2178,648,05.08.2016,
2179,904,07.07.2016,
2180,1160,23.08.2016,
2181,1416,15.07.2016,
2182,1672,21.07.2016,
2183,1928,,
2184,136,28.07.2016,
2185,392,01.07.2016,
2186,648,05.07.2016,
2187,904,11.08.2016,
2188,1160,,
2189,1416,,
2190,1672,,
2191,1928,26.07.2016,
2192,137,28.07.2016,
2193,393,01.07.2016,
2194,649,05.07.2016,
2195,905,11.08.2016,
2196,1161,,
2197,1417,,
2198,1673,,
2199,1929,26.07.2016,
2200,137,29.06.2016,
2201,393,01.08.2016,
2202,649,05.08.2016,
2203,905,07.07.2016,
2204,1161,23.08.2016,
2205,1417,15.07.2016,
2206,1673,21.07.2016,
2207,1929,,
2208,138,28.07.2016,
2209,394,01.07.2016,
2210,650,05.07.2016,
2211,906,11.08.2016,
2212,1162,,
2213,1418,,
2214,1674,,
2215,1930,26.07.2016,
2216,138,29.06.2016,
2217,394,01.08.2016,
2218,650,05.08.2016,
2219,906,07.07.2016,
2220,1162,23.08.2016,
2221,1418,15.07.2016,
2222,1674,21.07.2016,
2223,1930,,
2224,139,29.06.2016,
2225,395,01.08.2016,
2226,651,05.08.2016,
2227,907,07.07.2016,
2228,1163,23.08.2016,
2229,1419,15.07.2016,
2230,1675,21.07.2016,
2231,1931,,
2232,139,28.07.2016,
2233,395,01.07.2016,
2234,651,05.07.2016,
2235,907,11.08.2016,
2236,1163,,
2237,1419,,
2238,1675,,
2239,1931,26.07.2016,
2240,140,28.07.2016,
2241,396,01.07.2016,
2242,652,05.07.2016,
2243,908,11.08.2016,
2244,1164,,
2245,1420,,
2246,1676,,
2247,1932,26.07.2016,
2248,140,29.06.2016,
2249,396,01.08.2016,
2250,652,05.08.2016,
2251,908,07.07.2016,
2252,1164,23.08.2016,
2253,1420,15.07.2016,
2254,1676,21.07.2016,
2255,1932,,
2256,141,29.06.2016,
2257,397,01.08.2016,
2258,653,05.08.2016,
2259,909,07.07.2016,
2260,1165,23.08.2016,
2261,1421,15.07.2016,
2262,1677,21.07.2016,
2263,1933,,
2264,141,28.07.2016,
2265,397,01.07.2016,
2266,653,05.07.2016,
2267,909,11.08.2016,
2268,1165,,
2269,1421,,
2270,1677,,
2271,1933,26.07.2016,
2272,142,29.06.2016,
2273,398,01.08.2016,
2274,654,05.08.2016,
2275,910,07.07.2016,
2276,1166,23.08.2016,
2277,1422,15.07.2016,
2278,1678,21.07.2016,
2279,1934,,
2280,142,28.07.2016,
2281,398,01.07.2016,
2282,654,05.07.2016,
2283,910,11.08.2016,
2284,1166,,
2285,1422,,
2286,1678,,
2287,1934,26.07.2016,
2288,143,28.07.2016,
2289,399,01.07.2016,
2290,655,05.07.2016,
2291,911,11.08.2016,
2292,1167,,
2293,1423,,
2294,1679,,
2295,1935,26.07.2016,
2296,143,29.06.2016,
2297,399,01.08.2016,
2298,655,05.08.2016,
2299,911,07.07.2016,
2300,1167,23.08.2016,
2301,1423,15.07.2016,
2302,1679,21.07.2016,
2303,1935,,
2304,144,29.06.2016,
2305,400,01.08.2016,
2306,656,05.08.2016,
2307,912,07.07.2016,
2308,1168,23.08.2016,
2309,1424,15.07.2016,
2310,1680,21.07.2016,
2311,1936,,
2312,144,28.07.2016,
2313,400,01.07.2016,
2314,656,05.07.2016,
2315,912,11.08.2016,
2316,1168,13.07.2016,
2317,1424,,
2318,1680,,
2319,1936,26.07.2016,
2320,145,28.07.2016,
2321,401,01.07.2016,
2322,657,05.07.2016,
2323,913,11.08.2016,
2324,1169,,
2325,1425,,
2326,1681,,
2327,1937,26.07.2016,
2328,145,29.06.2016,
2329,401,01.08.2016,
2330,657,05.08.2016,
2331,913,07.07.2016,
2332,1169,23.08.2016,
2333,1425,15.07.2016,
2334,1681,21.07.2016,
2335,1937,,
2336,146,28.07.2016,
2337,402,01.07.2016,
2338,658,05.07.2016,
2339,914,11.08.2016,
2340,1170,,
2341,1426,,
2342,1682,,
2343,1938,26.07.2016,
2344,146,29.06.2016,
2345,402,01.08.2016,
2346,658,05.08.2016,
2347,914,07.07.2016,
2348,1170,,
2349,1426,19.07.2016,
2350,1682,21.07.2016,
2351,1938,,
2352,147,29.06.2016,
2353,403,01.08.2016,
2354,659,05.08.2016,
2355,915,07.07.2016,
2356,1171,23.08.2016,
2357,1427,,
2358,1683,21.07.2016,
2359,1939,,
2360,147,28.07.2016,
2361,403,01.07.2016,
2362,659,05.07.2016,
2363,915,11.08.2016,
2364,1171,,
2365,1427,,
2366,1683,,
